Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,2YY43AA#ABC,HP,EX900 NVMe PCIe M.2 250GB,100,148,1021,https://ssd.userbenchmark.com/SpeedTest/455743/HP-SSD-EX900-250GB
SSD,SHPM2280P2/480G,Kingston,HyperX Predator AHCI PCIe M.2 480GB,101,147,928,https://ssd.userbenchmark.com/SpeedTest/27251/Kingston-SHPM2280P2480G
SSD,PH240GPM280SSDR,Patriot,Hellfire NVMe PCIe M.2 240GB,102,146,1003,https://ssd.userbenchmark.com/SpeedTest/179778/Patriot-Hellfire-M2
SSD,SSDPEDME400G401,Intel,DC P3600 Series NVMe PCIe 400GB,103,145,31,https://ssd.userbenchmark.com/SpeedTest/22744/NVMe-INTEL-SSDPEDME40
SSD,PX-512M8SeY,Plextor,M8Se NVMe PCIe M.2 512GB,104,142,85,https://ssd.userbenchmark.com/SpeedTest/341666/PLEXTOR-PX-512M8SeG
SSD,PX-512M8SeG,Plextor,M8Se NVMe PCIe M.2 512GB,104,142,85,https://ssd.userbenchmark.com/SpeedTest/341666/PLEXTOR-PX-512M8SeG
SSD,PX-512M8SeGN,Plextor,M8Se NVMe PCIe M.2 512GB,104,142,85,https://ssd.userbenchmark.com/SpeedTest/341666/PLEXTOR-PX-512M8SeG
SSD,KXG50ZNV512G,Toshiba,XG5 NVMe PCIe M.2 512GB,105,142,10041,https://ssd.userbenchmark.com/SpeedTest/359770/KXG50ZNV512G-NVMe-TOSHIBA-512GB
SSD,SA1000M8/480G,Kingston,A1000 NVMe PCIe M.2 480GB,106,140,2457,https://ssd.userbenchmark.com/SpeedTest/492906/KINGSTON-SA1000M8480G
SSD,PX-1TM8SeY,Plextor,M8Se NVMe PCIe M.2 1TB,107,140,38,https://ssd.userbenchmark.com/SpeedTest/331208/PLEXTOR-PX-1TM8SeG
SSD,PX-1TM8SeG,Plextor,M8Se NVMe PCIe M.2 1TB,107,140,38,https://ssd.userbenchmark.com/SpeedTest/331208/PLEXTOR-PX-1TM8SeG
SSD,PX-1TM8SeGN,Plextor,M8Se NVMe PCIe M.2 1TB,107,140,38,https://ssd.userbenchmark.com/SpeedTest/331208/PLEXTOR-PX-1TM8SeG
SSD,2YY42AA#ABC,HP,EX900 NVMe PCIe M.2 120GB,108,138,245,https://ssd.userbenchmark.com/SpeedTest/489362/HP-SSD-EX900-120GB
SSD,SA1000M8/960G,Kingston,A1000 NVMe PCIe M.2 960GB,109,137,301,https://ssd.userbenchmark.com/SpeedTest/495225/KINGSTON-SA1000M8960G
SSD,CSSD-F120GBMP500,Corsair,Force MP500 NVMe PCIe M.2 120GB,110,137,5049,https://ssd.userbenchmark.com/SpeedTest/221057/Force-MP500
SSD,PX-256M8SeY,Plextor,M8Se NVMe PCIe M.2 256GB,111,136,166,https://ssd.userbenchmark.com/SpeedTest/327270/PLEXTOR-PX-256M8SeG
SSD,PX-256M8SeG,Plextor,M8Se NVMe PCIe M.2 256GB,111,136,166,https://ssd.userbenchmark.com/SpeedTest/327270/PLEXTOR-PX-256M8SeG
SSD,PX-256M8SeGN,Plextor,M8Se NVMe PCIe M.2 256GB,111,136,166,https://ssd.userbenchmark.com/SpeedTest/327270/PLEXTOR-PX-256M8SeG
SSD,MDNVME80-SBX-1T,MyDigitalSSD,SBX NVMe PCIe M.2 1TB,112,136,17,https://ssd.userbenchmark.com/SpeedTest/455228/SBX
SSD,,Samsung,PM951 NVMe PCIe M.2 512GB,113,136,3101,https://ssd.userbenchmark.com/SpeedTest/37633/NVMe-PM951-NVMe-SAMSU
SSD,ASX8000NP-256GM-C,Adata,XPG SX8000 NVMe PCIe M.2 256GB,114,134,1413,https://ssd.userbenchmark.com/SpeedTest/209005/NVMe-ADATA-SX8000NP
SSD,MDNVME80-SBX-0512,MyDigitalSSD,SBX NVMe PCIe M.2 512GB,115,134,98,https://ssd.userbenchmark.com/SpeedTest/438137/SBX
