Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,none,Hitachi,HDE721010SLA330 1TB,334,48.9,4622,https://hdd.userbenchmark.com/SpeedTest/2356/Hitachi-HDE721010SLA330
HDD,none,Toshiba,MK6461GSYN 640GB,336,48.7,325,https://hdd.userbenchmark.com/SpeedTest/2644/TOSHIBA-MK6461GSYN
HDD,none,Hitachi,HDT721075SLA360 750GB,337,48.7,193,https://hdd.userbenchmark.com/SpeedTest/3764/Hitachi-HDT721075SLA360
HDD,none,Seagate,ST750LM000-1EJ16G 750GB,338,48.6,675,https://hdd.userbenchmark.com/SpeedTest/10621/ST750LM000-1EJ16G
HDD,none,WD,WD10S12X-55JTET0 1TB,339,48.6,380,https://hdd.userbenchmark.com/SpeedTest/12098/WDC-WD10S12X-55JTET0
HDD,none,Seagate,ST3750528AS 750GB,340,48.5,12814,https://hdd.userbenchmark.com/SpeedTest/1714/ST3750528AS
HDD,none,Samsung,HM250HJ 250GB,342,48.4,234,https://hdd.userbenchmark.com/SpeedTest/11688/SAMSUNG-HM250HJ
HDD,none,Samsung,HM320HJ 320GB,343,48.3,505,https://hdd.userbenchmark.com/SpeedTest/2116/SAMSUNG-HM320HJ
HDD,none,Maxtor,STM3320613AS 320GB,344,48.3,1320,https://hdd.userbenchmark.com/SpeedTest/4882/MAXTOR-STM3320613AS
HDD,none,Hitachi,HDT721010SLA360 1TB,345,48.2,13086,https://hdd.userbenchmark.com/SpeedTest/1320/Hitachi-HDT721010SLA360
HDD,none,Hitachi,HDT72101 1TB,346,48.2,127,https://hdd.userbenchmark.com/SpeedTest/4490/Hitachi-HDT72101
HDD,none,Maxtor,STM3160813AS 160GB,347,48.1,544,https://hdd.userbenchmark.com/SpeedTest/7161/MAXTOR-STM3160813AS
HDD,none,Seagate,ST3750330NS 750GB,348,48,554,https://hdd.userbenchmark.com/SpeedTest/8704/ST3750330NS
HDD,none,Seagate,ST3320613AS 320GB,349,48,6442,https://hdd.userbenchmark.com/SpeedTest/1722/ST3320613AS
HDD,none,Seagate,ST3320813AS 320GB,353,47.7,1552,https://hdd.userbenchmark.com/SpeedTest/5403/ST3320813AS
HDD,none,Hitachi,HDT721050SLA360 500GB,354,47.7,887,https://hdd.userbenchmark.com/SpeedTest/4865/Hitachi-HDT721050SLA360
HDD,none,Seagate,STM3250318AS 250GB,355,47.6,1741,https://hdd.userbenchmark.com/SpeedTest/5134/STM3250318AS
HDD,none,WD,WD6400AARS-00Y5B1 640GB,357,47.5,1333,https://hdd.userbenchmark.com/SpeedTest/1604/WDC-WD6400AARS-00Y5B1
HDD,none,,OCZ-AGILITY3 60GB,358,47.4,28,https://hdd.userbenchmark.com/SpeedTest/2437/OCZ-AGILITY3
HDD,none,Seagate,ST3500412AS 500GB,359,47.4,1467,https://hdd.userbenchmark.com/SpeedTest/5332/ST3500412AS
HDD,none,Seagate,STM3320418AS 320GB,360,47.3,359,https://hdd.userbenchmark.com/SpeedTest/5696/STM3320418AS
HDD,none,Toshiba,MK6461GSY 640GB,361,47.3,486,https://hdd.userbenchmark.com/SpeedTest/3150/TOSHIBA-MK6461GSY
HDD,none,Seagate,ST32000542AS 2TB,362,47.3,8434,https://hdd.userbenchmark.com/SpeedTest/696/ST32000542AS
HDD,none,Toshiba,MK3261GSY 320GB,365,47.1,277,https://hdd.userbenchmark.com/SpeedTest/694/TOSHIBA-MK3261GSY
HDD,none,Hitachi,HTS72755 500GB,367,47,41,https://hdd.userbenchmark.com/SpeedTest/2252/Hitachi-HTS72755
HDD,none,Samsung,HD642JJ 640GB,368,47,5480,https://hdd.userbenchmark.com/SpeedTest/1574/SAMSUNG-HD642JJ
HDD,none,Hitachi,HDS5C1010CLA382 1TB,369,47,1120,https://hdd.userbenchmark.com/SpeedTest/1569/Hitachi-HDS5C1010CLA382
HDD,none,WD,WD6400AADS-00M2B0 640GB,370,46.9,671,https://hdd.userbenchmark.com/SpeedTest/10673/WDC-WD6400AADS-00M2B0
HDD,none,Seagate,ST31000340NS 1TB,372,46.9,3568,https://hdd.userbenchmark.com/SpeedTest/1232/ST31000340NS
HDD,none,Samsung,HD321HJ 320GB,373,46.9,1970,https://hdd.userbenchmark.com/SpeedTest/6799/SAMSUNG-HD321HJ
HDD,none,Hitachi,HTS725050A9A362 500GB,374,46.8,235,https://hdd.userbenchmark.com/SpeedTest/5508/Hitachi-HTS725050A9A362
HDD,none,Samsung,HD103SI 1TB,375,46.7,19591,https://hdd.userbenchmark.com/SpeedTest/1110/SAMSUNG-HD103SI
HDD,none,Seagate,ST3500620AS 500GB,376,46.7,2663,https://hdd.userbenchmark.com/SpeedTest/3388/ST3500620AS
HDD,none,Seagate,ST3250310NS 250GB,379,46.5,650,https://hdd.userbenchmark.com/SpeedTest/1947/ST3250310NS
HDD,none,Toshiba,MQ02ABF100 1TB,380,46.5,3389,https://hdd.userbenchmark.com/SpeedTest/11528/TOSHIBA-MQ02ABF100
HDD,none,Seagate,ST31000340AS 1TB,381,46.5,4304,https://hdd.userbenchmark.com/SpeedTest/206/ST31000340AS
HDD,none,Seagate,ST310005 1TB,382,46.4,12,https://hdd.userbenchmark.com/SpeedTest/1342/ST310005
HDD,none,Toshiba,MQ01ABD100 1TB,383,46.4,132402,https://hdd.userbenchmark.com/SpeedTest/784/TOSHIBA-MQ01ABD100
HDD,none,Samsung,HD322HJ 320GB,384,46.3,18074,https://hdd.userbenchmark.com/SpeedTest/1377/SAMSUNG-HD322HJ
HDD,none,Seagate,ST31000322CS 1TB,385,46.3,1375,https://hdd.userbenchmark.com/SpeedTest/6933/ST31000322CS
HDD,none,Seagate,ST3500312CS 500GB,386,46.2,24020,https://hdd.userbenchmark.com/SpeedTest/1659/ST3500312CS
HDD,none,Seagate,ST3500820AS 500GB,387,46.2,1990,https://hdd.userbenchmark.com/SpeedTest/3950/ST3500820AS
HDD,none,WD,WD15EURS-63S48Y0 1.5TB,388,46.2,255,https://hdd.userbenchmark.com/SpeedTest/7870/WDC-WD15EURS-63S48Y0
HDD,none,Seagate,ST3500320NS 500GB,390,46.1,2181,https://hdd.userbenchmark.com/SpeedTest/507/ST3500320NS
HDD,none,Hitachi,HTS541515A9E630 1.5TB,391,46.1,1102,https://hdd.userbenchmark.com/SpeedTest/9932/HGST-HTS541515A9E630
