Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,none,AMD,A10-5750M APU,666,31.5,4293,https://cpu.userbenchmark.com/SpeedTest/3779/AMD-A10-5750M-APU-with-Radeontm-HD-Graphics
CPU,none,Intel,Pentium G630,667,31.2,5402,https://cpu.userbenchmark.com/SpeedTest/3112/IntelR-PentiumR-CPU-G630---270GHz
CPU,none,Intel,Core i5-3317U,668,31,13538,https://cpu.userbenchmark.com/Intel-Core-i5-3317U/Rating/2744
CPU,none,Intel,Core i7-2637M,669,31,341,https://cpu.userbenchmark.com/SpeedTest/5436/IntelR-CoreTM-i7-2637M-CPU---170GHz
CPU,none,Intel,Celeron G1610,670,30.9,2234,https://cpu.userbenchmark.com/SpeedTest/3109/IntelR-CeleronR-CPU-G1610---260GHz
CPU,none,Intel,Core i7 Q 740,671,30.7,5999,https://cpu.userbenchmark.com/SpeedTest/415/IntelR-CoreTM-i7-CPU-------Q-740----173GHz
CPU,none,AMD,Phenom II X3 720,673,30.7,1638,https://cpu.userbenchmark.com/SpeedTest/326/AMD-Phenomtm-II-X3-720-Processor
CPU,none,Intel,Core M-5Y71,674,30.6,1272,https://cpu.userbenchmark.com/SpeedTest/24191/IntelR-CoreTM-M-5Y71-CPU---120GHz
CPU,none,Intel,Core m3-6Y30,675,30.6,2952,https://cpu.userbenchmark.com/SpeedTest/38171/IntelR-CoreTM-m3-6Y30-CPU---090GHz
CPU,none,Intel,Core i7 Q 820,676,30.6,1185,https://cpu.userbenchmark.com/SpeedTest/3571/IntelR-CoreTM-i7-CPU-------Q-820----173GHz
CPU,none,AMD,Phenom 9750,677,30.6,1172,https://cpu.userbenchmark.com/SpeedTest/2439/AMD-Phenomtm-9750-Quad-Core-Processor
CPU,none,Intel,Core i5 M 520,678,30.6,11774,https://cpu.userbenchmark.com/SpeedTest/812/IntelR-CoreTM-i5-CPU-------M-520----240GHz
CPU,none,Intel,Core i3-5015U,679,30.5,1698,https://cpu.userbenchmark.com/SpeedTest/32615/IntelR-CoreTM-i3-5015U-CPU---210GHz
CPU,none,AMD,A6-3620 APU,680,30.4,1437,https://cpu.userbenchmark.com/SpeedTest/8057/AMD-A6-3620-APU-with-Radeontm-HD-Graphics
CPU,none,Intel,Core i3 M 390,681,30.4,414,https://cpu.userbenchmark.com/SpeedTest/8797/IntelR-CoreTM-i3-CPU-------M-390----267GHz
CPU,none,Intel,Core i3-2370M,682,30.3,4274,https://cpu.userbenchmark.com/SpeedTest/1959/IntelR-CoreTM-i3-2370M-CPU---240GHz
CPU,none,AMD,Athlon II X3 435,683,30.2,972,https://cpu.userbenchmark.com/SpeedTest/2024/AMD-Athlontm-II-X3-435-Processor
CPU,none,Intel,Pentium G6950,684,30.2,509,https://cpu.userbenchmark.com/SpeedTest/638/IntelR-PentiumR-CPU--------G6950----280GHz
CPU,none,Intel,Core i5 M 450,685,30.1,3935,https://cpu.userbenchmark.com/SpeedTest/2006/IntelR-CoreTM-i5-CPU-------M-450----240GHz
CPU,none,Intel,Core i7-2677M,686,30,449,https://cpu.userbenchmark.com/SpeedTest/4939/IntelR-CoreTM-i7-2677M-CPU---180GHz
CPU,none,Intel,Core i3-5005U,687,30,21859,https://cpu.userbenchmark.com/SpeedTest/24957/IntelR-CoreTM-i3-5005U-CPU---200GHz
CPU,none,Intel,Core2 Quad Q6700,688,30,3200,https://cpu.userbenchmark.com/SpeedTest/3748/IntelR-CoreTM2-Quad-CPU----Q6700----266GHz
CPU,none,AMD,A6-7470K APU (2014 D.Ka),689,29.9,109,https://cpu.userbenchmark.com/SpeedTest/129200/AMD-A6-7470K-Radeon-R5-6-Compute-Cores-2C-4G
CPU,none,Intel,Pentium G620,690,29.8,4947,https://cpu.userbenchmark.com/SpeedTest/2636/IntelR-PentiumR-CPU-G620---260GHz
CPU,none,Intel,Core M-5Y10,691,29.5,307,https://cpu.userbenchmark.com/SpeedTest/17561/IntelR-Processor-5Y10-CPU---080GHz
CPU,none,Intel,Core2 Quad Q8200,692,29.5,10310,https://cpu.userbenchmark.com/SpeedTest/3754/IntelR-CoreTM2-Quad--CPU---Q8200----233GHz
CPU,none,AMD,A10-7400P APU (2014 M.Ka),693,29.4,686,https://cpu.userbenchmark.com/SpeedTest/26875/AMD-A10-7400P-Radeon-R6-10-Compute-Cores-4C-6G
CPU,none,Intel,Celeron G550,694,29.4,861,https://cpu.userbenchmark.com/SpeedTest/5014/IntelR-CeleronR-CPU-G550---260GHz
CPU,none,Intel,Pentium 3550M,695,29.3,320,https://cpu.userbenchmark.com/SpeedTest/9225/IntelR-PentiumR-CPU-3550M---230GHz
CPU,none,AMD,Phenom 9650,696,29,1799,https://cpu.userbenchmark.com/SpeedTest/5238/AMD-Phenomtm-9650-Quad-Core-Processor
CPU,none,AMD,A8-7200P APU (2014 M.Ka),697,29,77,https://cpu.userbenchmark.com/SpeedTest/64755/AMD-A8-7200P-Radeon-R5-8-Compute-Cores-4C-4G
CPU,none,Intel,Core i7 L 640,698,29,1232,https://cpu.userbenchmark.com/SpeedTest/4880/IntelR-CoreTM-i7-CPU-------L-640----213GHz
CPU,none,Intel,Core i5 M 430,699,28.9,6642,https://cpu.userbenchmark.com/SpeedTest/34/IntelR-CoreTM-i5-CPU-------M-430----227GHz
CPU,none,Intel,Core i7-3689Y,700,28.9,31,https://cpu.userbenchmark.com/SpeedTest/4592/IntelR-CoreTM-i7-3689Y-CPU---150GHz
CPU,none,Intel,Core i5-2557M,702,28.8,377,https://cpu.userbenchmark.com/SpeedTest/5422/IntelR-CoreTM-i5-2557M-CPU---170GHz
CPU,none,Intel,Core i3 M 380,703,28.8,8605,https://cpu.userbenchmark.com/SpeedTest/919/IntelR-CoreTM-i3-CPU-------M-380----253GHz
CPU,none,Intel,Core M-5Y70,704,28.8,457,https://cpu.userbenchmark.com/SpeedTest/16573/IntelR-Processor-5Y70-CPU---110GHz
CPU,none,Intel,Core i3-2348M,705,28.7,2079,https://cpu.userbenchmark.com/SpeedTest/2278/IntelR-CoreTM-i3-2348M-CPU---230GHz
